"Timestamp","Bangla Comments","Result"
"2018/07/14 8:00:29 PM GMT+6","ফেজবুকে যতবার এমন পোস্ট পাইসি যে এরে এমন করলে উমুক হবে তমুক হবে
এরপর থেকেই ওই প্লেয়ার টা হারায়া গেসে,
ওরে আর হারিকেন দিয়েও খোজে পাওয়া যায়নাই","সমালোোচনা"
"2018/07/14 8:00:56 PM GMT+6","১০ ওভারে ৭০ করে ফেলা ইংল্যান্ডের প্রথন উইকেটটা নিজের প্রথম ওভারেই ঐ কুলদীপই নিছে---","প্রশংসা"
"2018/07/14 8:01:27 PM GMT+6","৯২/৪ উইকেট পর্যন্ত দেইখা ঘুম দিসিলাম! সকালে উইঠা দেখি উইন্ডিজ ব্যাটিং করে দিন শেষ করসে। :3 আমাদের ব্যাটসম্যানরা পেস এটাক বিশেষ করে টেস্টে ৮৭-৯০/৯১ mph এর বল খেলতে খুবই আনইজি ফিল করে। একটা দলের টপ অর্ডার ব্যাটসম্যানদের এমন কাঁপুনি পায়ে ব্যাটিং লজ্জার্। বুঝি না ভালো গতির বল কি প্র্যাক্টিস করে না নাকি এরা?","সমালোোচনা"
"2018/07/14 8:02:25 PM GMT+6","সাকিব তার বোলিং এর সময় ফাউল ফিল্ড সেট করেছে , এটা তারই দোষ , তবে প্রথমদিকে সবই ঠিক ছিল শুধু লাক ছিলনা ।","সমালোোচনা"
"2018/07/14 8:03:11 PM GMT+6","রিভিউ নেওয়া নিয়ে আমাদের দোটানা, অনভিজ্ঞতা অনেক আগে থেকেই। আজকে আরেকবার দেখা লাগলো এই আরকি 😞","সমালোোচনা"
"2018/07/14 8:03:39 PM GMT+6","লিটনের সাথে এমন আরো কয়েকবার হইছে 😖 অপরপাশের কাছ থেকে সারা না পেয়ে এভাবে আগেও চলে গেছে।পরে দেখা গেছে উইকেট মিসিং","সমালোোচনা"
"2018/07/14 8:05:36 PM GMT+6","আমার কন্টিনিউয়াসলি বাজে খেলতেসি এটা সত্য আর তবে সব গুলাই ওভারসিস ট্যুর।দেখেন টেস্টের ২ নাম্বার টিম দক্ষিণ আফ্রিকাও কিন্তু শ্রীলংকার মাটিতে ১২৬ রানে ১ম ইনিংস অল আউট হলো গল টেস্টে।আমাদের মাটিতে কয়দিন আগে এক সেশনেই অস্ট্রেলিয়া ধরা খেল। ওভারসিস ট্যুরে ভালো করতে বিসিবির কোম প্ল্যান নাই মনে হয় ।সেটা ভালো হলেই দেখবেন আমরা জিতব সব জায়গায়ই ।আমরা সবাই আসলে খুব হতাশ এজন্য এগুলো বলা।","দু:খদায়ক"
"2018/07/14 8:06:10 PM GMT+6","ইংলিশ ক্রিকেটারদের অকালে ঝরে পড়ার বাতিক আছে। তাও টেইলরকে একটা ভালো কাজে লাগালো।","প্রশংসা"
"2018/07/14 8:07:45 PM GMT+6","অভিনন্দন বাংলাদেশ মহিলা ক্রিকেট দলকে!","প্রশংসা"
"2018/07/14 8:09:49 PM GMT+6","আমাদের সৌম্য সরকার ভাই।সেই যে গেল আর ফর্মেই আসতে পারল না।","সমালোোচনা"
